etf_ticker,stock_ticker,stock_name,weight_pct,shares
00982A,3665,貿聯-KY,0.0005,136
00982A,3706,神達,0.0002,1400
00984A,2382,廣達,4.27,787000
00984A,2357,華碩,3.24,266000
00984A,2303,聯電,3.06,1796000
00984A,2603,長榮海運,2.76,892000
00984A,2330,台積電,2.73,86000
00984A,2891,中信金,2.53,2749000
00984A,2881,富邦金控,2.36,1596025
00984A,3045,台灣大,2.32,1531000
00984A,2882,國泰金,2.21,1845000
00984A,3034,聯詠,2.09,318000
00984A,2412,中華電,2.02,1094000
00984A,2885,元大金,2.01,2419000
00984A,6274,台燿,1.97,89000
00984A,3026,禾伸堂,1.92,230000
00984A,3036,文曄,1.9,496000
00984A,5274,信驊科技,1.88,8000
00984A,3189,景碩科技,1.82,188000
00984A,2883,凱基金控,1.66,4940000
00984A,2360,致茂,1.63,49000
00984A,2383,台光電子,1.58,25000
00984A,2618,長榮航,1.52,3078000
00984A,2454,聯發科,1.43,24000
00984A,4991,環宇-KY,1.3,136000
00984A,3037,欣興,1.26,96000
00984A,8358,金居開發,1.25,155000
00984A,8069,元太,1.23,413000
00984A,6187,萬潤科技,1.18,85000
00984A,6223,旺矽,1.16,15000
00984A,3293,鈊象,1.15,111000
00984A,2404,漢唐,1.09,72000
00984A,2486,一詮精密,1.08,297000
00984A,3081,聯亞光電,1.04,28000
00984A,2467,志聖,1.02,127000
00984A,3702,大聯大,0.96,623000
00984A,6147,頎邦,0.93,258000
00984A,5876,上海商銀,0.89,1675000
00984A,2451,創見,0.81,172000
00984A,2474,可成,0.77,229000
00984A,4938,和碩,0.73,568000
00984A,2912,統一超商,0.62,197000
00984A,3481,群創光電,0.6,771000
00984A,6715,嘉基,0.57,90000
00984A,3006,晶豪,0.54,159000
00984A,3131,弘塑科技,0.5,12000
00984A,2464,盟立,0.49,213000
00984A,2049,上銀科技,0.48,100000
00984A,2426,鼎元,0.47,485000
00984A,6531,愛普科技,0.46,32000
00984A,2308,台達電子,0.45,14000
00984A,2347,聯強,0.43,361000
00984A,7734,印能科技,0.38,9000
00984A,3443,創意電子,0.36,6000
00984A,1102,亞泥,0.35,773000
00984A,2368,金像電子,0.34,19000
00984A,2377,微星,0.31,163000
00984A,3167,大量,0.28,23000
00984A,2393,億光,0.27,310000
00984A,3227,原相,0.26,84000
00984A,1736,喬山健康,0.25,162000
00984A,8261,富鼎,0.24,106000
